monitoring_period,monitoring_start_year,area,area_code,survey_effort_km,survey_segments,survey_days,mean_beaufort,sighting_count_all,off_effort_sightings,fishing_boat_assoc,on_effort_sightings,on_dolphin_count,on_mean_herd_size,encounter_rate_per_100_km,dolphin_rate_per_100_km,hzmb_construction,hzmb_post_open,rs3_reclamation,mp_brothers,mp_sw_lantau,mp_south_lantau,any_reclamation,any_marine_park,annual_abundance,abundance_low_reliability,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
2012-13,2012,DEEP BAY,DB,108.5,20,5,2.7,4.0,2.0,0.0,2.0,4.0,2.0,1.8433179723502304,3.686635944700461,0,0,0,0,0,0,0,0,,,25.761666666666667,18.425,6.27,20.006666666666668,24.72,12.09,0.8945500000000001,2.2876666666666665
2012-13,2012,LAMMA,LM,448.56,28,5,1.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2012-13,2012,NE LANTAU,NEL,937.7,132,31,2.553030303030303,29.0,14.0,2.0,15.0,46.0,3.066666666666667,1.5996587394689132,4.9056201343713335,1,0,0,0,0,0,1,0,4.0,False,23.96333333333333,29.841666666666665,6.668333333333334,12.593333333333334,3.106666666666667,3.185,0.1240833333333333,0.4288333333333333
2012-13,2012,NINEPINS,NP,197.4,11,4,2.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2012-13,2012,NW LANTAU,NWL,1193.14,187,43,2.6844919786096257,108.0,24.0,4.0,84.0,271.0,3.2261904761904763,7.040246743885881,22.71317699515564,0,0,0,0,0,0,0,0,40.0,False,25.237179487179485,24.516666666666666,7.343589743589743,4.932051282051282,5.051282051282051,6.046153846153847,0.1238333333333333,0.8343589743589743
2012-13,2012,PO TOI,PT,397.0,24,5,2.2083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2012-13,2012,SE LANTAU,SEL,419.29,63,16,2.4603174603174605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2012-13,2012,SW LANTAU,SWL,618.27,91,21,2.6043956043956045,29.0,9.0,2.0,20.0,42.0,2.1,3.2348326782797163,6.7931486243874035,0,0,0,0,0,0,0,0,19.0,False,24.60555555555555,28.82222222222222,7.85,4.625,3.638888888888889,4.341666666666667,0.0470833333333333,0.3386111111111111
2012-13,2012,W LANTAU,WL,720.92,140,37,2.557142857142857,176.0,46.0,8.0,130.0,416.0,3.2,18.032514009876273,57.704044831604065,0,0,0,0,0,0,0,0,17.0,False,25.237179487179485,24.516666666666666,7.343589743589743,4.932051282051282,5.051282051282051,6.046153846153847,0.1238333333333333,0.8343589743589743
2013-14,2013,DEEP BAY,DB,221.08,43,10,2.0,11.0,0.0,0.0,11.0,44.0,4.0,4.975574452686811,19.902297810747243,0,0,0,0,0,0,0,0,,,23.801666666666662,19.53666666666667,5.1866666666666665,16.19,19.295,2.7266666666666666,1.0704,2.105166666666667
2013-14,2013,LAMMA,LM,525.49,40,7,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2013-14,2013,NE LANTAU,NEL,655.89,91,24,2.120879120879121,6.0,1.0,0.0,5.0,14.0,2.8,0.7623229504947476,2.134504261385293,1,0,0,0,0,0,1,0,3.0,False,22.886666666666667,30.065,5.513333333333334,2.6,2.783333333333333,1.975,0.0975166666666666,0.3641666666666667
2013-14,2013,NINEPINS,NP,304.82,21,6,2.4761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2013-14,2013,NW LANTAU,NWL,959.77,153,38,2.3333333333333335,54.0,13.0,5.0,41.0,130.0,3.1707317073170733,4.271856799024767,13.544911801785844,0,0,0,0,0,0,0,0,36.0,False,23.612820512820512,24.82179487179487,6.089743589743589,5.6551282051282055,7.314102564102564,4.134615384615385,0.1242692307692307,0.7482051282051282
2013-14,2013,PO TOI,PT,427.8,32,6,2.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
2013-14,2013,SE LANTAU,SEL,522.98,81,21,2.234567901234568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
