"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM2","2022-08-12","1","Surface Water","1.5","0.66","6","80","6","5300","12000","1","0.14","0.13","7.1","3.9","8.7","1.3","8.4","11","27.7","1.8","1.1","2.24","0.18","14.8","0.005","2"
"Deep Bay","DM2","2022-09-14","1","Surface Water","1.6","0.18","12","83","5.5","40","230","0.81","0.097","0.11","7.1","13","19.8","1","0.96","51","31.2","1.09","0.48","1.39","0.28","301.7","0.002","8"
"Deep Bay","DM2","2022-10-13","1","Surface Water","0.8","0.19","10","84","6.1","90","240","1","0.15","0.13","7.7","5","21.8","1","5.4","25","25.4","1.34","0.39","1.54","0.23","384.2","0.005","3.4"
"Deep Bay","DM2","2022-11-09","1","Surface Water","3.2","0.4","7.5","66","4.9","2600","6900","0.96","0.093","0.11","6.9","1.4","23.1","1.3","4.7","11","24","1.45","0.56","1.61","0.2","114.5","0.002","2"
"Deep Bay","DM2","2022-12-08","1","Surface Water","0.5","0.23","2.1","73","5.8","130","310","0.79","0.085","0.11","7.3","3","23.9","1.5","4.6","10","19.8","1.11","0.49","1.37","0.2","18.3","0.002","1.3"
"Deep Bay","DM3","2022-01-22","1","Surface Water","0.2","0.15","1.4","78","6.1","4","10","0.66","0.053","0.05","7.3","1.7","28.9","1.7","2.2","11","19.2","0.86","0.55","1.26","0.13","10.7","<0.001","1.9"
"Deep Bay","DM3","2022-02-16","1","Surface Water","0.8","0.092","4.3","86","6.7","8","9","0.5","0.025","0.03","7.3","2","29.1","1.6","1.8","4.4","18.9","0.62","0.28","0.81","0.07","6.9","<0.001","1.3"
"Deep Bay","DM3","2022-03-31","1","Surface Water","0.4","0.26","0.9","73","5.5","72","95","0.59","0.035","0.037","7.5","0.3","23.1","1.3","2.1","4.3","23.1","0.89","0.36","0.99","0.06","9.4","0.003","1"
"Deep Bay","DM3","2022-04-09","1","Surface Water","0.7","0.098","7.5","93","6.9","<1","<1","0.28","0.035","0.009","7.7","2.5","23.3","2.2","2.6","2.6","23.8","0.41","0.19","0.51","0.05","7.5","0.002","0.9"
"Deep Bay","DM3","2022-05-20","1","Surface Water","0.8","0.22","2.3","91","6.8","180","250","1.2","0.069","0.031","7.8","1.3","15.6","1.8","4.7","7.2","26.2","1.49","0.38","1.65","0.13","14.5","0.008","0.8"
"Deep Bay","DM3","2022-06-13","1","Surface Water","0.9","0.35","4.2","74","5.6","190","380","0.9","0.13","0.16","7.6","5.6","5.4","1.5","6","21","28.6","1.38","0.82","1.85","0.21","19.4","0.011","3.3"
"Deep Bay","DM3","2022-07-15","1","Surface Water","0.6","0.024","4","84","5.9","220","420","1.1","0.05","<0.002","7.9","2.8","10.6","1.4","7.4","9.8","31","1.17","0.29","1.44","0.07","12.9","0.002","<0.5"
"Deep Bay","DM3","2022-08-12","1","Surface Water","0.4","0.42","0.8","83","6","430","900","0.91","0.12","0.1","7.2","0.8","16.3","1.2","6.9","7.6","27.7","1.45","0.52","1.55","0.12","12.4","0.004","1.2"
"Deep Bay","DM3","2022-09-14","1","Surface Water","0.4","0.1","2.9","74","4.8","<1","4","0.54","0.057","0.07","7.1","3.1","24","1.2","1.3","22","31","0.7","0.28","0.88","0.18","128","<0.001","3.7"
"Deep Bay","DM3","2022-10-13","1","Surface Water","0.3","0.1","4.3","89","6.2","20","23","0.6","0.094","0.081","7.8","1.3","25.9","1.2","3.7","8.2","26.3","0.79","0.25","0.94","0.16","264.1","0.003","1.2"
"Deep Bay","DM3","2022-11-09","1","Surface Water","3.5","0.24","2.2","84","6.1","260","490","0.62","0.068","0.088","7.1","0.4","28.3","1.5","3.4","4","23","0.93","0.37","1.06","0.16","64.2","0.001","1.3"
"Deep Bay","DM3","2022-12-08","1","Surface Water","0.3","0.13","1.7","71","5.5","26","39","0.5","0.052","0.052","7.5","1.8","28.1","1.6","2.8","9.8","20.2","0.68","0.46","1.01","0.12","1.8","0.001","1.5"
"Deep Bay","DM4","2022-01-22","1","Surface Water","0.1","0.14","1.7","91","7","4","7","0.37","0.047","0.033","7.3","0.5","31.2","1.8","1.5","7.9","19.5","0.56","0.64","1.06","0.09","11.5","<0.001","1.6"
"Deep Bay","DM4","2022-01-22","1","Bottom Water","0.3","0.12","1.1","81","6.2","6","10","0.38","0.049","0.019","7.3","1.1","31.2","1.8","1.5","8","19.5","0.55","0.48","0.91","0.07","9.5","<0.001","1.6"
"Deep Bay","DM4","2022-02-18","1","Surface Water","0.9","0.097","3.7","81","6.4","2","4","0.35","0.025","0.009","7.5","0.6","29.6","2.9","0.97","3.2","18.5","0.47","0.22","0.6","0.1","5.7","<0.001","1"
"Deep Bay","DM4","2022-02-18","1","Bottom Water","0.9","0.1","3.4","94","7.4","1","3","0.35","0.041","<0.002","7.5","0.7","29.8","2.9","1","3.1","18.4","0.49","0.13","0.52","0.04","5.6","<0.001","0.9"
"Deep Bay","DM4","2022-04-09","1","Surface Water","0.5","0.084","5.7","88","6.6","3","4","0.32","0.034","0.009","7.8","1.9","22.7","2.5","2.7","4.3","23.7","0.44","0.21","0.56","0.04","8","0.002","1.1"
"Deep Bay","DM4","2022-04-09","1","Bottom Water","0.5","0.11","4.6","99","7.4","19","39","0.28","0.032","0.008","7.7","2.1","24.2","2.5","2.4","3.2","22.7","0.42","0.24","0.55","0.04","6.6","0.002","1.1"
"Deep Bay","DM4","2022-05-20","1","Surface Water","1","0.16","3.4","82","6.1","38","73","1.3","0.066","0.023","7.9","0.6","15.2","1.9","4.3","7.5","26.4","1.53","0.37","1.74","0.08","8.8","0.007","1.2"
"Deep Bay","DM4","2022-05-20","1","Bottom Water","0.9","0.16","2.6","77","5.7","68","120","1.1","0.064","0.029","7.9","0.8","18.7","1.9","4.2","4.7","25.7","1.32","0.3","1.46","0.07","8.2","0.006","0.9"
"Deep Bay","DM4","2022-06-13","1","Surface Water","2","0.17","1.5","77","5.7","230","510","1.1","0.071","<0.002","7.7","1.5","8","1.5","7.5","15","28.1","1.34","0.46","1.63","0.1","17","0.006","3.3"
"Deep Bay","DM4","2022-06-13","1","Bottom Water","0.2","0.16","1.4","78","5.8","280","610","1.1","0.07","<0.002","7.7","1.8","8.1","1.5","7.4","13","28","1.33","0.42","1.59","0.11","20.7","0.005","1.9"
"Deep Bay","DM4","2022-07-15","1","Surface Water","0.2","0.036","1.8","71","5.1","210","410","1.1","0.047","<0.002","7.6","1","12.1","1.5","7.6","5.3","29.8","1.18","0.27","1.42","0.08","11.1","0.001","0.6"
"Deep Bay","DM4","2022-07-15","1","Bottom Water","0.2","0.039","2.1","70","5","220","430","1","0.046","<0.002","7.6","0.7","13","1.5","7.4","8.8","29.4","1.09","0.22","1.27","0.07","14","0.001","0.8"
"Deep Bay","DM4","2022-08-12","1","Surface Water","0.3","0.2","0.5","76","5.4","210","1200","0.93","0.13","0.076","7.2","0.3","18.4","1.2","6.6","8.8","27.9","1.26","0.31","1.37","0.1","11.6","0.002","0.9"
"Deep Bay","DM4","2022-08-12","1","Bottom Water","0.3","0.2","0.4","57","4.1","220","480","0.88","0.13","0.07","7.3","0.6","18.4","1.2","5.4","8.7","27.9","1.21","0.28","1.29","0.09","11.5","0.002","1"
"Deep Bay","DM4","2022-09-14","1","Surface Water","0.4","0.12","0.7","77","5","<1","<1","0.5","0.064","0.038","7.1","0.7","25","1.5","1.8","8.4","30.8","0.68","0.22","0.78","0.11","80.1","0.001","1.5"
"Deep Bay","DM4","2022-09-14","1","Bottom Water","0.3","0.12","2","67","4.4","<1","1","0.5","0.065","0.043","7.1","<0.2","25.2","1.5","1.8","8.6","30.5","0.69","0.21","0.78","0.11","97","0.001","1"
"Deep Bay","DM4","2022-10-13","1","Surface Water","<0.1","0.1","0.9","89","6.1","<1","<1","0.41","0.087","0.049","7.8","0.7","28.6","1.3","2.7","6.8","26.9","0.6","0.16","0.66","0.15","124.1","0.004","1"
"Deep Bay","DM4","2022-10-13","1","Bottom Water","<0.1","0.1","0.9","75","5.1","3","6","0.43","0.087","0.05","7.8","1.2","28.7","1.3","2.7","13","26.9","0.62","0.2","0.72","0.1","163.2","0.004","2.3"
"Deep Bay","DM4","2022-11-09","1","Surface Water","3.2","0.18","0.8","82","5.8","160","750","0.41","0.058","0.061","7.1","<0.2","30.4","2.4","2.9","3.2","23.4","0.65","0.43","0.9","0.13","28.7","<0.001","0.8"
"Deep Bay","DM4","2022-11-09","1","Bottom Water","3.3","0.14","1.4","82","5.8","180","540","0.36","0.056","0.055","7.1","0.6","31","2.4","2.5","5.4","23.1","0.56","0.58","1","0.13","57.8","<0.001","1.1"
"Deep Bay","DM4","2022-12-08","1","Surface Water","0.2","0.12","0.8","85","6.3","4","12","0.35","0.035","0.029","7.5","0.5","30.4","2","1.8","8.4","21.2","0.51","0.61","1","0.09","4.9","0.001","1.4"
"Deep Bay","DM4","2022-12-08","1","Bottom Water","<0.1","0.13","1.1","86","6.4","6","9","0.34","0.035","0.034","7.5","0.4","31","2","1.8","6.8","21.2","0.51","0.66","1.04","0.09","6","0.001","1.3"
"Deep Bay","DM5","2022-01-22","1","Surface Water","0.8","0.12","1","75","5.8","2","8","0.37","0.056","0.019","7","0.7","30.7","2.5","1.2","3.8","19.1","0.55","0.48","0.91","0.07","8.8","<0.001","1.1"
"Deep Bay","DM5","2022-01-22","1","Middle Water","0.5","0.15","0.5","73","5.6","3","13","0.36","0.054","0.022","7.1","0.6","30.8","2.5","1.2","4.5","19.4","0.56","0.37","0.78","0.06","6.9","<0.001","0.8"
"Deep Bay","DM5","2022-01-22","1","Bottom Water","0.3","0.14","0.6","86","6.6","8","11","0.34","0.058","0.008","7.1","0.3","31.2","2.5","1.2","6.2","19.5","0.54","0.54","0.94","0.06","7.1","<0.001","1.8"
"Deep Bay","DM5","2022-02-18","1","Surface Water","0.8","0.1","3.1","80","6.3","1","1","0.29","0.056","0.01","7.5","0.9","30.5","2.7","0.86","3.3","18.5","0.45","0.14","0.49","0.03","10.8","<0.001","1.2"
"Deep Bay","DM5","2022-02-18","1","Middle Water","0.9","0.11","3","83","6.5","1","1","0.25","0.033","<0.002","7.5","0.4","31","2.7","0.82","2.8","18.3","0.39","0.14","0.42","0.03","6.2","0.001","0.6"
"Deep Bay","DM5","2022-02-18","1","Bottom Water","0.7","0.11","2.5","92","7.2","4","7","0.23","0.038","0.01","7.5","0.7","31.1","2.7","0.9","3.7","18.3","0.38","0.13","0.4","0.03","6.1","0.001","1"
"Deep Bay","DM5","2022-03-31","1","Surface Water","0.5","0.2","0.5","72","5.4","27","70","0.47","0.026","0.019","7.6","<0.2","25.5","1.8","1.6","2.9","22.1","0.7","0.22","0.72","0.04","4","0.003","<0.5"
"Deep Bay","DM5","2022-03-31","1","Middle Water","0.4","0.19","0.4","79","6","60","180","0.46","0.022","0.017","7.6","<0.2","27","1.8","1.4","3.4","21.2","0.67","0.23","0.71","0.03","4","0.003","<0.5"
"Deep Bay","DM5","2022-03-31","1","Bottom Water","0.3","0.18","0.6","79","6","50","220","0.37","0.018","0.012","7.7","0.2","28.5","1.8","1.3","7","20.9","0.57","0.24","0.63","0.03","4","0.003","1"
"Deep Bay","DM5","2022-04-09","1","Surface Water","0.7","0.14","4.8","86","6.5","<1","3","0.4","0.046","0.013","7.8","1","22.3","2","3.6","3.6","23.1","0.59","0.19","0.64","0.04","13","0.003","0.9"
"Deep Bay","DM5","2022-04-09","1","Middle Water","0.8","0.1","6.5","91","6.8","11","19","0.47","0.028","0.005","7.8","2.7","26.3","2","1.8","3.2","21.9","0.6","0.19","0.69","0.04","6","0.002","1"
"Deep Bay","DM5","2022-04-09","1","Bottom Water","0.4","0.13","6.4","92","6.9","30","50","0.43","0.03","0.004","7.7","1.4","28.3","2","1.9","3.1","21.5","0.59","0.16","0.62","0.04","6","0.002","1.1"
"Deep Bay","DM5","2022-05-20","1","Surface Water","1.2","0.11","4.3","89","6.6","8","40","1.2","0.066","0.024","8","0.8","17","1.8","4.6","3.8","26","1.38","0.35","1.62","0.07","11","0.006","0.8"
"Deep Bay","DM5","2022-05-20","1","Middle Water","0.9","0.13","2.8","77","5.6","50","82","1","0.052","0.025","8","0.6","20.1","1.8","3.5","4.6","25.5","1.18","0.23","1.28","0.06","7.9","0.006","1.2"
"Deep Bay","DM5","2022-05-20","1","Bottom Water","1.2","0.13","3","77","5.6","36","71","1.1","0.051","0.029","8","1.8","23.5","1.8","3.4","5","25.1","1.28","0.26","1.41","0.06","8.1","0.006","0.8"
"Deep Bay","DM5","2022-06-13","1","Surface Water","0.4","0.054","2.3","76","5.8","380","800","1.3","0.086","<0.002","7.7","1.6","6.5","1.8","7.3","9.8","27.3","1.44","0.19","1.58","0.06","20.7","0.002","1.7"
"Deep Bay","DM5","2022-06-13","1","Middle Water","0.4","0.057","1.5","76","5.7","490","1100","1.2","0.085","<0.002","7.7","1.4","8.7","1.8","8.5","9.6","27.2","1.34","0.21","1.5","0.06","12.8","0.002","2"
"Deep Bay","DM5","2022-06-13","1","Bottom Water","6.8","0.057","1.6","73","5.4","4400","7600","1.3","0.082","<0.002","7.7","1","11.7","1.8","8.5","9.8","26.9","1.44","0.22","1.6","0.06","11.4","0.002","1.8"
"Deep Bay","DM5","2022-07-15","1","Surface Water","0.2","0.005","1","69","4.9","33","85","1.1","0.046","<0.002","7.6","1.1","12.1","1.8","7.1","3.6","30.2","1.15","0.22","1.37","0.05","10","<0.001","<0.5"
"Deep Bay","DM5","2022-07-15","1","Middle Water","0.3","0.007","1.5","75","5.3","56","130","1","0.046","<0.002","7.7","0.4","15.1","1.8","7.3","4.8","29","1.05","0.2","1.25","0.05","10.8","<0.001","<0.5"
"Deep Bay","DM5","2022-07-15","1","Bottom Water","0.3","0.016","1","70","4.9","71","110","0.99","0.046","<0.002","7.7","0.9","17","1.8","7.1","6.3","28.7","1.05","0.24","1.28","0.04","11.1","<0.001","<0.5"
"Deep Bay","DM5","2022-08-12","1","Surface Water","0.4","0.042","1.8","82","5.8","100","290","0.88","0.15","0.038","7.5","1.2","19.8","1.7","5.2","3.2","27.6","1.07","0.1","1.13","0.06","8.5","<0.001","0.8"
"Deep Bay","DM5","2022-08-12","1","Middle Water","0.3","0.079","1.6","69","4.9","190","480","0.83","0.13","0.039","7.5","0.5","20.6","1.7","4.8","3.5","27.6","1.04","0.11","1.07","0.06","8.1","0.001","0.7"
"Deep Bay","DM5","2022-08-12","1","Bottom Water","0.4","0.082","1.3","67","4.7","150","360","0.81","0.13","0.038","7.5","1.4","21.4","1.7","4.6","3.5","27.6","1.02","0.15","1.09","0.05","9","0.001","0.9"
"Deep Bay","DM5","2022-09-14","1","Surface Water","0.5","0.068","3","83","5.4","8","22","0.46","0.067","0.006","7.3","1.5","26","1.9","1.8","3.2","30.3","0.6","0.16","0.69","0.08","32.1","<0.001","0.8"
"Deep Bay","DM5","2022-09-14","1","Middle Water","0.5","0.079","3","69","4.5","27","62","0.36","0.055","0.004","7.3","0.5","27.2","1.9","1.7","5.5","29.8","0.49","0.16","0.58","0.08","55.7","0.001","1"
"Deep Bay","DM5","2022-09-14","1","Bottom Water","0.3","0.08","2.2","76","4.9","43","130","0.33","0.053","0.013","7.3","2.2","27.9","1.9","1.6","10","29.6","0.46","0.28","0.66","0.07","100","0.001","1.2"
"Deep Bay","DM5","2022-10-13","1","Surface Water","0.2","0.086","1.1","105","7","<1","1","0.26","0.07","0.027","7.9","0.3","30.5","1.7","1.8","3.3","27.5","0.42","0.31","0.64","0.08","67","0.004","0.7"
"Deep Bay","DM5","2022-10-13","1","Middle Water","0.4","0.09","0.9","75","5","5","9","0.26","0.07","0.029","7.9","0.5","30.7","1.7","1.8","4.3","27.4","0.42","0.33","0.66","0.12","73.1","0.004","0.8"
"Deep Bay","DM5","2022-10-13","1","Bottom Water","<0.1","0.09","1.5","81","5.4","9","19","0.25","0.069","0.028","7.9","0.6","31.2","1.7","1.8","4.6","27.4","0.41","0.43","0.75","0.08","94.1","0.004","1"
"Deep Bay","DM5","2022-11-09","1","Surface Water","3.1","0.081","1.3","85","6","23","73","0.21","0.057","0.031","7.2","<0.2","32.5","1.8","1.8","6.1","23.5","0.35","0.56","0.83","0.1","53.3","<0.001","0.8"
"Deep Bay","DM5","2022-11-09","1","Middle Water","2.8","0.077","0.5","84","5.9","51","120","0.19","0.057","0.019","7.2","<0.2","32.6","1.8","1.8","5.8","23.6","0.32","0.38","0.63","0.1","57.2","<0.001","1"
"Deep Bay","DM5","2022-11-09","1","Bottom Water","2.9","0.083","0.6","84","5.9","47","120","0.19","0.055","0.017","7.2","<0.2","32.9","1.8","1.8","5.7","23.5","0.33","0.53","0.78","0.09","72.6","<0.001","0.8"
"Deep Bay","DM5","2022-12-08","1","Surface Water","<0.1","0.12","1.5","80","5.8","2","8","0.14","0.022","0.015","7.6","<0.2","32.2","1.8","1","7.4","21.8","0.28","0.83","0.99","0.07","7.7","0.002","1"
"Deep Bay","DM5","2022-12-08","1","Middle Water","0.1","0.13","0.5","85","6.2","4","6","0.15","0.02","0.011","7.6","0.7","32.4","1.8","0.72","9.7","21.8","0.3","0.87","1.04","0.08","8","0.002","1.3"
"Deep Bay","DM5","2022-12-08","1","Bottom Water","<0.1","0.12","0.5","86","6.2","7","9","0.13","0.018","0.013","7.6","0.5","32.4","1.8","0.87","7.8","21.9","0.27","0.93","1.08","0.07","8.2","0.002","1.6"
"Eastern Buffer","EM1","2022-01-07","1","Surface Water","0.4","0.056","1.6","81","6.1","30","52","0.067","0.025","0.016","7.6","0.4","33.7","2.1","0.59","4.5","19.8","0.15","0.43","0.52","0.03","12.7","<0.001","0.8"
"Eastern Buffer","EM1","2022-01-07","1","Middle Water","0.2","0.06","1.3","89","6.6","27","50","0.064","0.026","0.014","7.6","0.5","33.8","2.1","0.59","4","20.1","0.15","0.82","0.91","0.03","6.9","<0.001","<0.5"
"Eastern Buffer","EM1","2022-01-07","1","Bottom Water","<0.1","0.049","1.6","90","6.7","19","34","0.063","0.024","0.016","7.6","<0.2","33.8","2.1","0.58","3.6","20","0.14","0.46","0.55","0.03","7","<0.001","0.8"
"Eastern Buffer","EM1","2022-02-12","1","Surface Water","0.7","0.024","1.4","92","7.2","5","11","<0.002","<0.002","0.005","7.5","<0.2","33","5.3","0.74","7.7","17","0.03","0.25","0.25","0.02","7.4","<0.001","1.2"
"Eastern Buffer","EM1","2022-02-12","1","Middle Water","0.7","0.017","0.7","94","7.4","4","9","<0.002","<0.002","<0.002","7.5","0.3","33","5.3","0.75","1.1","17.1","0.02","0.21","0.21","0.02","5.1","<0.001","<0.5"
"Eastern Buffer","EM1","2022-02-12","1","Bottom Water","0.6","0.02","0.7","93","7.3","4","5","<0.002","0.002","<0.002","7.5","0.3","33.1","5.3","0.75","1.1","17.1","0.02","0.23","0.23","0.02","5.4","<0.001","<0.5"
"Eastern Buffer","EM1","2022-03-25","1","Surface Water","1.7","0.1","0.9","82","6.2","38","67","<0.002","<0.002","<0.002","7.6","0.5","32","5","0.47","2.4","19.7","0.1","0.55","0.55","0.03","5.1","0.001","1.3"
"Eastern Buffer","EM1","2022-03-25","1","Middle Water","2.4","0.084","0.6","93","7","19","40","<0.002","<0.002","<0.002","7.6","<0.2","32.1","5","0.42","2.4","19.7","0.09","0.56","0.56","0.03","4.8","0.001","0.6"
"Eastern Buffer","EM1","2022-03-25","1","Bottom Water","2.4","0.06","0.3","94","7.1","13","28","<0.002","<0.002","0.002","7.6","<0.2","32.2","5","0.42","4.1","19.8","0.06","0.63","0.63","0.02","4.9","<0.001","0.9"
"Eastern Buffer","EM1","2022-04-02","1","Surface Water","0.7","0.092","1.6","96","7.3","34","49","<0.002","<0.002","<0.002","7.5","<0.2","32","2.4","0.58","3.3","19.9","0.1","0.61","0.61","0.03","7.1","<0.001","<0.5"
"Eastern Buffer","EM1","2022-04-02","1","Middle Water","0.6","0.076","1","92","6.9","16","34","<0.002","<0.002","<0.002","7.6","<0.2","32.1","2.4","0.49","2.7","20","0.08","0.67","0.67","0.03","5.5","<0.001","<0.5"
"Eastern Buffer","EM1","2022-04-02","1","Bottom Water","0.6","0.072","0.7","92","6.9","10","13","<0.002","0.003","<0.002","7.6","0.5","32.2","2.4","0.49","1.5","20","0.08","0.96","0.97","0.03","5.8","<0.001","<0.5"
"Eastern Buffer","EM1","2022-05-18","1","Surface Water","0.6","0.031","0.7","88","6.1","<1","7","0.051","<0.002","0.005","8.1","1","32.6","3","0.41","3.1","24.4","0.08","0.55","0.6","0.03","10.5","0.002","0.5"
"Eastern Buffer","EM1","2022-05-18","1","Middle Water","1","0.039","0.5","89","6.2","6","11","0.066","0.003","0.005","8.1","0.8","32.6","3","0.41","10","24.5","0.11","0.51","0.58","0.02","6.8","0.002","1.7"
"Eastern Buffer","EM1","2022-05-18","1","Bottom Water","0.3","0.033","0.6","90","6.2","34","66","0.054","<0.002","0.004","8.1","0.4","32.7","3","0.39","12","24.4","0.09","0.73","0.79","0.02","7.1","0.002","2.3"
"Eastern Buffer","EM1","2022-06-17","1","Surface Water","<0.1","0.046","13","65","4.4","50","230","0.16","0.051","0.009","8","2.5","31.9","2.9","0.65","4.4","25.4","0.26","0.07","0.28","0.04","6.5","0.002","0.6"
"Eastern Buffer","EM1","2022-06-17","1","Middle Water","<0.1","0.023","5.4","71","4.9","140","210","0.078","0.043","0.004","8","1.2","33.4","2.9","0.62","3.8","24.8","0.14","0.17","0.29","0.03","6.6","<0.001","<0.5"
"Eastern Buffer","EM1","2022-06-17","1","Bottom Water","<0.1","0.013","4.1","69","4.7","71","90","0.058","0.041","0.006","7.9","0.8","34","2.9","0.62","3.2","24.5","0.11","0.11","0.21","0.03","7.8","<0.001","<0.5"
"Eastern Buffer","EM1","2022-07-08","1","Surface Water","<0.1","0.14","3.5","88","6","860","2700","0.42","0.034","<0.002","7.8","<0.2","25.9","2.2","2.4","2","27.6","0.59","0.17","0.62","0.05","7.6","0.005","0.8"
"Eastern Buffer","EM1","2022-07-08","1","Middle Water","<0.1","0.067","1.6","44","3.6","1400","2700","0.26","0.031","0.015","7.7","0.5","32","2.2","1.7","4.5","25.8","0.36","0.23","0.52","0.04","8","0.002","1.3"
"Eastern Buffer","EM1","2022-07-08","1","Bottom Water","<0.1","0.037","0.6","39","2.7","730","1400","0.21","0.022","0.014","7.7","0.6","33.3","2.2","1.5","5.5","24.9","0.27","0.14","0.37","0.03","9","<0.001","1"
